Requerimiento No Funcionales    Evaluación (criterio)
Autoevaluación			1
Lenguaje			1
Versión				1
Standard			1
No variables			1
Documentación			0.75
Dom->Rec			1
Organización			1
Historial			1
Script de pruebas		1
Prerrequisitos			1

Requerimientos Funcionales	Evaluación (criterio)
TDAs                            1
image                           1
bitmap?                         1
pixmap?                         1
hexmap?                         1
compressed?                     1
flipH                           1
flipV                           1
crop                            1
imgRGB->imgHex                  1
histogram                       1
rotate90                        1
compress                        1
edit                            1
invertColorBit                  1
invertColorRGB                  1
adjustChannel                   1
image->string                   1
depthLayers                     1
descompress                     1
